company_name,industry,phone,address,city,email,revenue
Wang Co,Real Estate,589-746-7675,4249 Oak Ave,Los Angeles,info@wangco.gmail.com,1753071
"Barton, Corp",Technology,872-752-3476,5981 5th Ave,Miami,"info@barton,corp.hotmail.com",4013005
Houston Systems,Construction,350-904-1047,7350 Broadway,Miami,info@houstonsystems.hotmail.com,5182520
Scott-Rodriguez Partners,Healthcare,352-807-7674,9059 Main St,New York,info@scott-rodriguezpartners.yahoo.com,7769509
"Myers, Corp",Retail,841-226-4191,1204 Main St,New York,"info@myers,corp.hotmail.com",6812448
Lewis-Brooks Corp,Real Estate,492-102-3426,5186 Lakeshore Dr,Boston,info@lewis-brookscorp.hotmail.com,3175807
"Jones, Solutions",Technology,504-898-9518,7689 Pine Rd,Seattle,"info@jones,solutions.hotmail.com",4550795
"Flores, Corp",Healthcare,675-852-7818,5681 Broadway,Houston,"info@flores,corp.hotmail.com",8360273
Kelly Corp,Education,370-272-6140,7108 Main St,Miami,info@kellycorp.yahoo.com,6144907
"Edwards, Solutions",Education,704-806-3652,9662 Market St,Miami,"info@edwards,solutions.gmail.com",2681570
Olson-Poole LLC,Construction,428-663-4829,2447 Lakeshore Dr,Chicago,info@olson-poolellc.yahoo.com,8393481
"Moore, Inc",Retail,948-289-3671,2521 5th Ave,Seattle,"info@moore,inc.hotmail.com",5015507
Rich Systems,Education,493-806-9905,7314 Lakeshore Dr,San Francisco,info@richsystems.yahoo.com,7429566
"Clark, Co",Education,667-196-9247,9907 Broadway,Houston,"info@clark,co.hotmail.com",8596835
"Moore, Group",Construction,563-100-9419,5560 Oak Ave,Chicago,"info@moore,group.yahoo.com",7085237
"Walker, Systems",Technology,703-560-5839,9033 Market St,Seattle,"info@walker,systems.yahoo.com",9777341
Garcia-Powers Partners,Technology,272-786-2899,9581 Main St,New York,info@garcia-powerspartners.gmail.com,3624353
Williams Group,Healthcare,720-342-7126,7830 Broadway,San Francisco,info@williamsgroup.gmail.com,8499849
Nichols-Green Group,Retail,597-840-8881,8810 Broadway,Chicago,info@nichols-greengroup.hotmail.com,4323638
"Evans, Systems",Hospitality,581-268-4411,3035 Pine Rd,San Francisco,"info@evans,systems.hotmail.com",819332
"Williams, Corp",Healthcare,295-937-7630,9990 Oak Ave,Miami,"info@williams,corp.gmail.com",1690442
"Gilbert, Group",Education,287-911-6466,7494 Oak Ave,Miami,"info@gilbert,group.yahoo.com",9332593
Brown Inc,Real Estate,834-162-4850,9054 Oak Ave,Miami,info@browninc.yahoo.com,3778401
Randall Inc,Retail,748-461-7754,9255 Main St,Seattle,info@randallinc.gmail.com,5413244
Sawyer Group,Education,558-320-2790,2903 Sunset Blvd,San Francisco,info@sawyergroup.yahoo.com,3368629
Graham Partners,Real Estate,719-692-9204,1323 Sunset Blvd,Seattle,info@grahampartners.yahoo.com,2484196
"Schneider, Partners",Retail,318-270-4831,4895 Broadway,Chicago,"info@schneider,partners.gmail.com",5277475
Sloan-Barrett Partners,Technology,268-101-4593,7572 Pine Rd,Houston,info@sloan-barrettpartners.hotmail.com,8334174
"Waller, LLC",Education,242-414-9856,8448 Oak Ave,New York,"info@waller,llc.gmail.com",7994431
Murphy-Smith Corp,Finance,293-933-7023,4582 Broadway,San Francisco,info@murphy-smithcorp.gmail.com,2307643
Davis-Carroll Corp,Education,427-104-3340,3012 Lakeshore Dr,Seattle,info@davis-carrollcorp.gmail.com,2290652
"Robinson, LLC",Hospitality,827-750-7210,300 Oak Ave,San Francisco,"info@robinson,llc.hotmail.com",1412325
Garcia-Anderson Inc,Healthcare,755-201-5079,130 Pine Rd,Seattle,info@garcia-andersoninc.yahoo.com,1144260
Yates-Rice Partners,Healthcare,505-284-4139,4819 Broadway,Seattle,info@yates-ricepartners.hotmail.com,6097476
