company_name,industry,phone,address,city,email,revenue,id,score,insights
Wang Co,Real Estate,589-746-7675,4249 Oak Ave,Los Angeles,info@wangco.gmail.com,1753071,1,0.0,"real estate is a property consisting of land and the buildings on it, along with its natural resources such as growing crops (e.g. timber), minerals or water, and wild animals . in terms of law, real relates to land property and is different from personal property, while estate means the ""interest"" a person has in that land property, such as vehicles, boats, jewelry, furniture, tools, and rolling stock of a farm ."
"Barton, Corp",Technology,872-752-3476,5981 5th Ave,Miami,"info@barton,corp.hotmail.com",4013005,2,0.0,"technology is the application of conceptual knowledge to achieve practical goals . technology plays a critical role in science, engineering, and everyday life . technological advancements have led to significant changes in society ."
Houston Systems,Construction,350-904-1047,7350 Broadway,Miami,info@houstonsystems.hotmail.com,5182520,3,0.0,"construction industry contributes significantly to many countries' gross domestic products (GDP) in 2022, expenditure on construction industry exceeded $11 trillion a year, equivalent to about 13 percent of global GDP ."
Scott-Rodriguez Partners,Healthcare,352-807-7674,9059 Main St,New York,info@scott-rodriguezpartners.yahoo.com,7769509,4,0.0,"health care is the improvement or maintenance of health through prevention, diagnosis, treatment, amelioration or cure of disease, illness, injury, and other physical and mental impairments in people . access to health care may vary across countries, communities, and individuals . factors to consider in terms of health care access include financial limitations, geographical and l..."
"Myers, Corp",Retail,841-226-4191,1204 Main St,New York,"info@myers,corp.hotmail.com",6812448,5,0.0,"retailers are the final link in the supply chain from producers to consumers . retail markets and shops have a long history, dating back to antiquity . some of the earliest retailers were itinerant peddlers ."
Lewis-Brooks Corp,Real Estate,492-102-3426,5186 Lakeshore Dr,Boston,info@lewis-brookscorp.hotmail.com,3175807,6,0.0,"real estate is a property consisting of land and the buildings on it, along with its natural resources such as growing crops (e.g. timber), minerals or water, and wild animals . in terms of law, real relates to land property and is different from personal property, while estate means the ""interest"" a person has in that land property, such as vehicles, boats, jewelry, furniture, tools, and rolling stock of a farm ."
"Jones, Solutions",Technology,504-898-9518,7689 Pine Rd,Seattle,"info@jones,solutions.hotmail.com",4550795,7,0.0,"technology is the application of conceptual knowledge to achieve practical goals . technology plays a critical role in science, engineering, and everyday life . technological advancements have led to significant changes in society ."
"Flores, Corp",Healthcare,675-852-7818,5681 Broadway,Houston,"info@flores,corp.hotmail.com",8360273,8,0.0,"health care is the improvement or maintenance of health through prevention, diagnosis, treatment, amelioration or cure of disease, illness, injury, and other physical and mental impairments in people . access to health care may vary across countries, communities, and individuals . factors to consider in terms of health care access include financial limitations, geographical and l..."
Kelly Corp,Education,370-272-6140,7108 Main St,Miami,info@kellycorp.yahoo.com,6144907,9,0.0,"formal and non-formal education are categorized into levels, including early childhood education, primary education, secondary education, and tertiary education . the term ""education"" can denote the mental states and qualities of educated individuals and the academic field studying educational phenomena ."
"Edwards, Solutions",Education,704-806-3652,9662 Market St,Miami,"info@edwards,solutions.gmail.com",2681570,10,0.0,"formal and non-formal education are categorized into levels, including early childhood education, primary education, secondary education, and tertiary education . the term ""education"" can denote the mental states and qualities of educated individuals and the academic field studying educational phenomena ."
Olson-Poole LLC,Construction,428-663-4829,2447 Lakeshore Dr,Chicago,info@olson-poolellc.yahoo.com,8393481,11,0.0,"construction industry contributes significantly to many countries' gross domestic products (GDP) in 2022, expenditure on construction industry exceeded $11 trillion a year, equivalent to about 13 percent of global GDP ."
"Moore, Inc",Retail,948-289-3671,2521 5th Ave,Seattle,"info@moore,inc.hotmail.com",5015507,12,0.0,"retailers are the final link in the supply chain from producers to consumers . retail markets and shops have a long history, dating back to antiquity . some of the earliest retailers were itinerant peddlers ."
Rich Systems,Education,493-806-9905,7314 Lakeshore Dr,San Francisco,info@richsystems.yahoo.com,7429566,13,0.0,"formal and non-formal education are categorized into levels, including early childhood education, primary education, secondary education, and tertiary education . the term ""education"" can denote the mental states and qualities of educated individuals and the academic field studying educational phenomena ."
"Clark, Co",Education,667-196-9247,9907 Broadway,Houston,"info@clark,co.hotmail.com",8596835,14,0.0,"formal and non-formal education are categorized into levels, including early childhood education, primary education, secondary education, and tertiary education . the term ""education"" can denote the mental states and qualities of educated individuals and the academic field studying educational phenomena ."
"Moore, Group",Construction,563-100-9419,5560 Oak Ave,Chicago,"info@moore,group.yahoo.com",7085237,15,0.0,"construction industry contributes significantly to many countries' gross domestic products (GDP) in 2022, expenditure on construction industry exceeded $11 trillion a year, equivalent to about 13 percent of global GDP ."
"Walker, Systems",Technology,703-560-5839,9033 Market St,Seattle,"info@walker,systems.yahoo.com",9777341,16,0.0,"technology is the application of conceptual knowledge to achieve practical goals . technology plays a critical role in science, engineering, and everyday life . technological advancements have led to significant changes in society ."
Garcia-Powers Partners,Technology,272-786-2899,9581 Main St,New York,info@garcia-powerspartners.gmail.com,3624353,17,0.0,"technology is the application of conceptual knowledge to achieve practical goals . technology plays a critical role in science, engineering, and everyday life . technological advancements have led to significant changes in society ."
Williams Group,Healthcare,720-342-7126,7830 Broadway,San Francisco,info@williamsgroup.gmail.com,8499849,18,0.0,"health care is the improvement or maintenance of health through prevention, diagnosis, treatment, amelioration or cure of disease, illness, injury, and other physical and mental impairments in people . access to health care may vary across countries, communities, and individuals . factors to consider in terms of health care access include financial limitations, geographical and l..."
Nichols-Green Group,Retail,597-840-8881,8810 Broadway,Chicago,info@nichols-greengroup.hotmail.com,4323638,19,0.0,"retailers are the final link in the supply chain from producers to consumers . retail markets and shops have a long history, dating back to antiquity . some of the earliest retailers were itinerant peddlers ."
